

Curry kyckling serveras med Ris/havreris




Broccolisoppa serveras med hembakt bröd & pålägg




Panerad fisk serveras med kokt potatis & kallsås




Ramslökssoppa serveras med bröd & pålägg




Potatisbullar serveras med fläsk & lingon




Ox pytt serveras med vitlöksdressing




Stekt falukorv med stuvade makaroner alt makaroner




Ugnsbakad kyckling i Dragon & chilisås serveras med ris/havreris




Indonesisk linsgryta serveras med ris/havreris




schnitzel serveras med Bearnaise och klyftpotatis.




Köttfärssås & spagetti




"Asiatisk kycklingsoppa (lime, ingefära, chili, kokosgrädde)"




Panerad fisk serveras med Remoulad & kokt potatis




Morotssoppa (Högsbo)serveras med bröd och pålägg




Kycklinggryta (Chili mai thai) serveras med havreris




Köttfärssås & spagetti




Pasta sallad med kyckling och curry remoulad




1:a maj




Panerad fisk serveras med kokt potatis & dilldipp




Kalkon kebab serveras med tillbehör




korvstroganoff serveras med ris/havreris




Lasagne serveras med vitlöksdressing




Högsbo soppa med tillbehör




Apelsinkyckling serveras med





Nudel wok med kyckling!



Pasta Carbonnara på kalkon




Majs & potatissoppa serveras med hembakt bröd & pålägg




Kyckling i rödcurry serveras med kokt ris




Gulaschsoppa




Taco buffe!



Köttbullar serveras med potatis & gräddsås samt lingon




Panerad fisk med remouladsås & kokt potatis



Curry kyckling serveras med ris



Grekisk färsruta med soltorkad tomat & persilja serveras med rostad potatis samt honung & vitlökssås (grekisk yoghurt)



Chili con carne serveras med ris/matvete




Annandag påsk


Köttfärssås & spagetti




Fiskgratäng med Dill och pepparrot serveras med kokt potatis




Stekt falukorv med stuvade makaroner alt makaroner



Hamburgare serveras med bröd & tillbehör samt potatis mos




Fransk pastagratäng med kyckling




Currygryta med Mango & qourn serveras med ris




Påsklunch




Italienskt tomatsås serveras med pasta & hembakt bröd




Vad köket erbjuder




"Ugnsfärs serveras med potatis, gräddsås och lingonsylt"





Chiligratinerad kyckling serveras med havreris/ris




Pasta Carbonara




Indonesisk linsgryta serveras med ris/havreris




Fiskburgare serveras med potatismos & dressing




"Morot & linssoppa, bröd med pålägg"




Pytt i panna serveras med rödbetor




Apelsinkyckling med ris




Tacosoppa serveras med bröd och gräddfil




"Pannbiff serveras med gräddsås, lingon & kokt potatis"




Köttbullar serveras med gräddsås & kokt potatis




Ost och broccolisoppa serveras med bröd & pålägg




Lasagne




gulaschsoppa serveras med hembakt bröd och pålägg




Curry kyckling med ris




Köttfärssås & spagetti




korvstroganoff serveras med ris




Ugnsbakad kyckling i Dragon & chilisås serveras med rostad potatis




Panerad fisk med remouladsås & kokt potatis




Kalkon kebab serveras med bröd & vitlöksdressing





Kycklinggryta serveras med Ris




Stekt falukorv med stuvade makaroner





Pasta Carbonnara




Panerad fisk serveras med dillsås (varm) & koktpotatis




Vad köket erbjuder






Kyckling masala serveras med ris




Ängamatsoppa serveras med bröd & pålägg




chili con carne servas med ris




Fiskgratäng smaksatt med dill serveras med kokt potatis




Potatisbullar serveras med fläsk & lingon
